,categories,coordinates,display_phone,distance,id,image_url,is_closed,location,name,phone,price,rating,review_count,transactions,url,cat
0,"[{'alias': 'shanghainese', 'title': 'Shanghainese'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'seafood', 'title': 'Seafood'}]","{'latitude': 40.7146691442891, 'longitude': -73.9977602206654}",(212) 233-8888,1066.508549881042,joes-shanghai-new-york-2,https://s3-media3.fl.yelpcdn.com/bphoto/ekUo5egd4dlE7zJyb4-Leg/o.jpg,False,"{'address1': '9 Pell St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['9 Pell St', 'New York, NY 10013']}",Joe's Shanghai,+12122338888,$$,4.0,4696,[],https://www.yelp.com/biz/joes-shanghai-new-york-2?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
1,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}]","{'latitude': 40.7142, 'longitude': -73.99787}",(212) 791-1817,1020.1959880278199,tasty-hand-pulled-noodles-new-york,https://s3-media1.fl.yelpcdn.com/bphoto/3_3or7LDmQFZEFuZoN8iIA/o.jpg,False,"{'address1': '1 Doyers St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['1 Doyers St', 'New York, NY 10013']}",Tasty Hand-Pulled Noodles,+12127911817,$,4.0,1280,"['delivery', 'pickup']",https://www.yelp.com/biz/tasty-hand-pulled-noodles-new-york?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
2,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'asianfusion', 'title': 'Asian Fusion'}]","{'latitude': 40.7422275387194, 'longitude': -74.0047066478157}",(212) 989-6699,4183.124415973374,buddakan-new-york,https://s3-media4.fl.yelpcdn.com/bphoto/Avw19VU35-FZLen3nl9gYw/o.jpg,False,"{'address1': '75 9th Ave', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10011', 'country': 'US', 'state': 'NY', 'display_address': ['75 9th Ave', 'New York, NY 10011']}",Buddakan,+12129896699,$$$,4.0,3278,['restaurant_reservation'],https://www.yelp.com/biz/buddakan-new-york?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
3,"[{'alias': 'shanghainese', 'title': 'Shanghainese'}, {'alias': 'gourmet', 'title': 'Specialty Food'}, {'alias': 'noodles', 'title': 'Noodles'}]","{'latitude': 40.7598810063385, 'longitude': -73.8325853625656}",(718) 321-3838,14909.390987202529,nan-xiang-xiao-long-bao-flushing,https://s3-media4.fl.yelpcdn.com/bphoto/ONP2DhsGDUKVScihhmaUGw/o.jpg,False,"{'address1': '38-12 Prince St', 'address2': '', 'address3': '', 'city': 'Flushing', 'zip_code': '11354', 'country': 'US', 'state': 'NY', 'display_address': ['38-12 Prince St', 'Flushing, NY 11354']}",Nan Xiang Xiao Long Bao,+17183213838,$,4.0,2664,[],https://www.yelp.com/biz/nan-xiang-xiao-long-bao-flushing?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
4,"[{'alias': 'asianfusion', 'title': 'Asian Fusion'}, {'alias': 'malaysian', 'title': 'Malaysian'}, {'alias': 'chinese', 'title': 'Chinese'}]","{'latitude': 40.7190148, 'longitude': -73.9968228}",(212) 334-3669,1524.98583315547,nyonya-new-york,https://s3-media2.fl.yelpcdn.com/bphoto/YuWC1Gwo7ku4PvD-7mDQnA/o.jpg,False,"{'address1': '199 Grand St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['199 Grand St', 'New York, NY 10013']}",Nyonya,+12123343669,$$,4.0,1698,['delivery'],https://www.yelp.com/biz/nyonya-new-york?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
5,"[{'alias': 'shanghainese', 'title': 'Shanghainese'}]","{'latitude': 40.71441, 'longitude': -73.99902}",(212) 766-6311,1072.4653401965559,shanghai-asian-manor-new-york,https://s3-media2.fl.yelpcdn.com/bphoto/O3Md1QIqHqd1WUDBAuo7_Q/o.jpg,False,"{'address1': '21 Mott St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['21 Mott St', 'New York, NY 10013']}",Shanghai Asian Manor,+12127666311,$$,4.0,1189,"['delivery', 'pickup']",https://www.yelp.com/biz/shanghai-asian-manor-new-york?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
6,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}]","{'latitude': 40.714167, 'longitude': -73.998803}",(212) 233-0788,1041.687819922476,noodle-village-new-york,https://s3-media4.fl.yelpcdn.com/bphoto/pgBRnEZgg56u6nhzjkQJBg/o.jpg,False,"{'address1': '13 Mott St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['13 Mott St', 'New York, NY 10013']}",Noodle Village,+12122330788,$,4.0,724,"['pickup', 'delivery']",https://www.yelp.com/biz/noodle-village-new-york?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
7,"[{'alias': 'shanghainese', 'title': 'Shanghainese'}]","{'latitude': 40.6918206366101, 'longitude': -73.9863992364001}",(929) 337-7599,1654.665443552366,yaso-tangbao-brooklyn,https://s3-media3.fl.yelpcdn.com/bphoto/n8qkl-utd4uCMlOy46G05g/o.jpg,False,"{'address1': '148 Lawrence St', 'address2': '', 'address3': '', 'city': 'Brooklyn', 'zip_code': '11201', 'country': 'US', 'state': 'NY', 'display_address': ['148 Lawrence St', 'Brooklyn, NY 11201']}",Yaso Tangbao,+19293377599,$$,4.0,493,[],https://www.yelp.com/biz/yaso-tangbao-brooklyn?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
8,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'noodles', 'title': 'Noodles'}, {'alias': 'ramen', 'title': 'Ramen'}]","{'latitude': 40.71556, 'longitude': -73.99692}",(646) 645-7288,1148.231048479526,lam-zhou-handmade-noodle-and-dumpling-new-york,https://s3-media2.fl.yelpcdn.com/bphoto/bYcrgObH3BID8Wu4xbDLlA/o.jpg,False,"{'address1': '40 Bowery', 'address2': None, 'address3': '', 'city': 'New York', 'zip_code': '10013', 'country': 'US', 'state': 'NY', 'display_address': ['40 Bowery', 'New York, NY 10013']}",Lam Zhou Handmade Noodle & Dumpling,+16466457288,$,4.0,1220,[],https://www.yelp.com/biz/lam-zhou-handmade-noodle-and-dumpling-new-york?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
9,"[{'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'burgers', 'title': 'Burgers'}, {'alias': 'noodles', 'title': 'Noodles'}]","{'latitude': 40.75585, 'longitude': -73.98078}",,5712.792623054174,xian-famous-foods-new-york-6,https://s3-media2.fl.yelpcdn.com/bphoto/2yvlxHhW93y5MSLtmBuqDA/o.jpg,False,"{'address1': '24 W 45th St', 'address2': '', 'address3': '', 'city': 'New York', 'zip_code': '10036', 'country': 'US', 'state': 'NY', 'display_address': ['24 W 45th St', 'New York, NY 10036']}",Xi'an Famous Foods,,$,4.0,1213,[],https://www.yelp.com/biz/xian-famous-foods-new-york-6?adjust_creative=NHD_-c5OUfJMGx-jKoObQQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=NHD_-c5OUfJMGx-jKoObQQ,chinese
